id_cliente,nome_cliente,cidade,estado,tipo_cliente,data_adesao,id_cidade,id_estado,id_cidade_estado
1,Luna Da Mota,GONCALVES,BA,Industrial,26/09/2024,0265,01,026501
2,Lavinia Da Conceicao,SANTOS GRANDE,SP,Industrial,23/10/2020,0477,03,047703
3,Antonio Viana,FARIAS,BA,Industrial,27/06/2021,0225,01,022501
4,Luiz Fernando Lopes,CAVALCANTI DO NORTE,BA,Industrial,03/11/2022,0103,01,010301
5,Gabrielly Cardoso,FERNANDES,SP,Residencial,25/09/2021,0232,03,023203
6,Maria Cecilia Araujo,REZENDE,SP,Industrial,25/08/2022,0429,03,042903
7,Pedro Miguel Cardoso,AZEVEDO,BA,Comercial,19/06/2024,0031,01,003101
8,Amanda Gomes,SILVA DE MENDES,MG,Comercial,11/10/2021,0481,02,048102
9,Ana Sophia Barbosa,MOURA,BA,Industrial,19/04/2021,0340,01,034001
10,Emilly Cardoso,JESUS DO OESTE,BA,Industrial,24/06/2020,0274,01,027401
11,Ana Julia Pinto,PINTO DO NORTE,BA,Comercial,01/04/2025,0399,01,039901
12,Sabrina Moraes,CASTRO,BA,Comercial,07/08/2023,0088,01,008801
13,Vitor Peixoto,ALMEIDA DE LIMA,SP,Residencial,03/12/2020,0004,03,000403
14,Vicente Barros,ALVES,BA,Comercial,15/01/2023,0010,01,001001
15,Miguel Farias,MONTEIRO DO GALHO,MG,Comercial,20/09/2020,0322,02,032202
16,Pedro Lucas Moura,CARDOSO PAULISTA,SP,Industrial,28/11/2024,0079,03,007903
17,Raquel Alves,ALVES,MG,Comercial,03/01/2025,0010,02,001002
18,Lais Campos,LOPES,MG,Residencial,24/02/2024,0281,02,028102
19,Stella Farias,COSTA,MG,Comercial,14/06/2021,0118,02,011802
20,Levi Araujo,RAMOS DA PRATA,MG,Industrial,09/02/2022,0421,02,042102
21,Joao Felipe Ferreira,DA ROCHA,SP,Industrial,24/01/2024,0192,03,019203
22,Maria Alice Pereira,ALVES GRANDE,SP,Comercial,08/09/2023,0015,03,001503
23,Pietra Lima,LOPES,MG,Industrial,18/08/2023,0281,02,028102
24,Giovanna Araujo,MOURA DE GOMES,MG,Residencial,04/01/2024,0342,02,034202
25,Gabrielly Jesus,OLIVEIRA,SP,Residencial,17/01/2025,0374,03,037403
26,Rebeca Nogueira,PEREIRA DE DA CRUZ,SP,Comercial,01/05/2024,0388,03,038803
27,Mariane Pinto,DUARTE DE CARVALHO,SP,Comercial,22/01/2024,0221,03,022103
28,Alexia Rezende,MOREIRA,BA,Comercial,28/05/2022,0329,01,032901
29,Barbara Campos,BARBOSA DO GALHO,BA,Industrial,09/07/2024,0042,01,004201
30,Gabrielly Rocha,GONCALVES GRANDE,BA,Residencial,03/12/2022,0268,01,026801
31,Milena Porto,LOPES,MG,Residencial,18/11/2020,0281,02,028102
32,Pietro Gomes,VIANA,BA,Industrial,19/09/2020,0509,01,050901
33,Camila Da Costa,RIBEIRO,MG,Residencial,18/09/2020,0438,02,043802
34,Gabrielly Barros,SALES DOS DOURADOS,MG,Comercial,28/12/2022,0469,02,046902
35,Diego Dias,REZENDE DE SILVA,BA,Comercial,02/08/2022,0434,01,043401
36,Bruno Costa,VIEIRA,MG,Comercial,26/01/2025,0516,02,051602
37,Renan Pinto,DA ROSA,BA,Residencial,26/04/2023,0198,01,019801
38,Joao Gabriel Almeida,RODRIGUES,BA,Comercial,31/03/2022,0455,01,045501
39,Vitor Hugo Moreira,MONTEIRO,SP,Industrial,19/02/2024,0315,03,031503
40,Enzo Gabriel Silveira,CARDOSO,BA,Industrial,23/11/2024,0070,01,007001
41,Carlos Eduardo Moraes,PEREIRA,SP,Residencial,28/09/2022,0386,03,038603
42,Isabella Peixoto,FERNANDES,BA,Industrial,12/01/2025,0232,01,023201
43,Marina Pires,FERNANDES,BA,Industrial,15/02/2021,0232,01,023201
44,Manuela Viana,MENDES DE NASCIMENTO,SP,Residencial,25/03/2022,0309,03,030903
45,Daniela Rocha,RODRIGUES GRANDE,SP,Comercial,26/08/2020,0458,03,045803
46,Ana Sophia Silva,NOVAES,BA,Comercial,24/05/2022,0354,01,035401
47,Daniela Castro,REZENDE DO CAMPO,MG,Comercial,10/03/2024,0436,02,043602
48,Rodrigo Vieira,DA ROCHA DO OESTE,SP,Residencial,29/09/2020,0196,03,019603
49,Erick Santos,CARVALHO,MG,Industrial,10/03/2022,0080,02,008002
50,Barbara Sales,GOMES DO AMPARO,MG,Comercial,02/03/2025,0263,02,026302
